B_ext (T),Mz/Ms,Moment_Am2
18.0,-1.0,-0.0024946510937863776
17.7,-1.0,-0.0024946510937863776
17.4,-0.9981873085037759,-0.0024901290609626245
17.1,-1.0,-0.0024946510937863776
16.8,-0.9971914423081558,-0.0024876447222684566
16.5,-1.0,-0.0024946510937863776
16.2,-0.9990745404116661,-0.0024923423950120854
15.9,-1.0,-0.0024946510937863776
15.6,-0.9985564266565664,-0.0024910498819662205
15.3,-1.0,-0.0024946510937863776
15.0,-0.9994556876399104,-0.002493293224361919
14.7,-0.9969657311330176,-0.002487081651638518
14.4,-1.0,-0.0024946510937863776
14.1,-1.0,-0.0024946510937863776
13.8,-0.9979173016219168,-0.002489455487999465
13.5,-1.0,-0.0024946510937863776
13.2,-0.9969566290636944,-0.0024870589451513256
12.9,-1.0,-0.0024946510937863776
12.600000000000001,-1.0,-0.0024946510937863776
12.3,-0.9980091176630462,-0.0024896845369868957
12.0,-0.9995718959253878,-0.0024935831234883916
11.7,-0.9977675876188505,-0.0024890820037979607
11.4,-0.9984935708990401,-0.0024908930787819563
11.100000000000001,-1.0,-0.0024946510937863776
10.8,-0.9970101647441764,-0.002487192497995196
10.5,-0.9986726083110997,-0.002491339714657779
10.2,-0.9983710708699757,-0.0024905874839504616
9.9,-0.9991231611171977,-0.0024924636867083203
9.6,-1.0,-0.0024946510937863776
9.3,-1.0,-0.0024946510937863776
9.0,-0.9982298477284464,-0.0024902351814859777
8.700000000000001,-1.0,-0.0024946510937863776
8.4,-1.0,-0.0024946510937863776
8.1,-1.0,-0.0024946510937863776
7.800000000000001,-0.9989742815802677,-0.0024920922842086753
7.5,-0.9974920742198449,-0.0024883946939957785
7.200000000000001,-0.9986184019658492,-0.00249120448873931
6.9,-0.9997942703323849,-0.0024941378700460374
6.6,-0.9986550536103413,-0.0024912959218043322
6.300000000000001,-0.9995261089572742,-0.0024934689009783063
6.0,-1.0,-0.0024946510937863776
5.700000000000001,-0.997318236262194,-0.002487961028944583
5.4,-1.0,-0.0024946510937863776
5.1,-0.9991705351492892,-0.0024925818683892947
4.800000000000001,-1.0,-0.0024946510937863776
4.5,-1.0,-0.0024946510937863776
4.200000000000001,-1.0,-0.0024946510937863776
3.9000000000000004,-0.998468222703428,-0.0024908298438780473
3.6000000000000014,-0.9993877958094027,-0.0024931238579326835
3.3000000000000007,-1.0,-0.0024946510937863776
3.0,-0.9994366017032736,-0.0024932456116092115
2.700000000000001,-1.0,-0.0024946510937863776
2.4000000000000004,-0.9969055315098013,-0.0024869314745826158
2.1000000000000014,-1.0,-0.0024946510937863776
1.8000000000000007,-0.9996829004480153,-0.00249386004104218
1.5,-0.9977752720269811,-0.0024891011737151088
1.1999999999999993,-1.0,-0.0024946510937863776
0.9000000000000021,-0.9990500886652173,-0.0024922813964360618
0.6000000000000014,-0.9943646247275001,-0.0024805927986989392
0.3000000000000007,-0.985105476182875,-0.0024574944536545594
0.0,-0.979589748168772,-0.002443734636731149
-0.3000000000000007,-0.9521849461007401,-0.0023753692172771342
-0.5999999999999979,-0.9072073303231752,-0.0022631657588817284
-0.8999999999999986,-0.8068851349363262,-0.002012896884428875
-1.1999999999999993,-0.6350435453695082,-0.0015842120750580227
-1.5,-0.3609273573171881,-0.0009003878267087501
-1.8000000000000007,-0.001153209379627005,-2.876855040251218e-06
-2.099999999999998,0.35797625789797755,0.000893025863314744
-2.3999999999999986,0.6332995049637429,0.0015798613027521726
-2.6999999999999993,0.8067411215952132,0.0020125376213899473
-3.0,0.9077796139023493,0.0022645934067384715
